Term , Document , Weight
 , 118 , 1.0
 , 187 , 1.0
 , 807 , 1.0
 , 395 , 1.0
 , 846 , 1.0
 , 748 , 1.0
 , 171 , 1.0
 , 345 , 1.0
 , 165 , 1.0
 , 443 , 1.0
 , 235 , 1.0
 , 835 , 1.0
 , 1277 , 1.0
 , 814 , 1.0
 , 1344 , 1.0
 , 374 , 1.0
 , 708 , 1.0
 , 1349 , 1.0
 , 1008 , 1.0
 , 886 , 1.0
 , 663 , 1.0
 , 1355 , 1.0
 , 92 , 1.0
 , 1266 , 1.0
 , 677 , 1.0
 , 462 , 1.0
 , 446 , 1.0
 , 1239 , 1.0
 , 594 , 1.0
 , 637 , 1.0
 , 573 , 1.0
 , 1263 , 1.0
 , 412 , 1.0
 , 520 , 1.0
 , 125 , 1.0
 , 1306 , 1.0
 , 705 , 1.0
 , 901 , 1.0
 , 18 , 1.0
 , 489 , 1.0
 , 621 , 1.0
 , 363 , 1.0
 , 1217 , 1.0
 , 427 , 1.0
 , 261 , 1.0
 , 696 , 1.0
 , 655 , 1.0
 , 1369 , 1.0
 , 438 , 1.0
 , 464 , 1.0
 , 101 , 1.0
 , 247 , 1.0
 , 319 , 1.0
 , 942 , 1.0
 , 258 , 1.0
 , 1105 , 1.0
 , 551 , 1.0
 , 933 , 1.0
 , 194 , 1.0
 , 1098 , 1.0
 , 154 , 1.0
 , 1127 , 1.0
 , 615 , 1.0
 , 570 , 1.0
 , 215 , 1.0
 , 838 , 1.0
 , 1236 , 1.0
 , 581 , 1.0
 , 648 , 1.0
 , 220 , 1.0
 , 994 , 1.0
 , 660 , 1.0
 , 183 , 1.0
 , 30 , 1.0
 , 597 , 1.0
 , 857 , 1.0
 , 1366 , 1.0
 , 535 , 1.0
 , 824 , 1.0
 , 688 , 1.0
 , 352 , 1.0
 , 143 , 1.0
 , 1199 , 1.0
 , 97 , 1.0
 , 863 , 1.0
 , 1308 , 1.0
 , 331 , 1.0
 , 618 , 1.0
 , 130 , 1.0
 , 179 , 1.0
 , 218 , 1.0
 , 435 , 1.0
 , 114 , 1.0
 , 875 , 1.0
 , 502 , 1.0
 , 982 , 1.0
 , 1288 , 1.0
 , 1087 , 1.0
 , 818 , 1.0
 , 222 , 1.0
 , 432 , 1.0
 , 1059 , 1.0
 , 272 , 1.0
 , 496 , 1.0
 , 251 , 1.0
 , 882 , 1.0
 , 1173 , 1.0
 , 478 , 1.0
 , 457 , 1.0
 , 359 , 1.0
 , 207 , 1.0
 , 793 , 1.0
 , 524 , 1.0
 , 288 , 1.0
 , 1188 , 1.0
 , 897 , 1.0
 , 607 , 1.0
 , 129 , 1.0
 , 590 , 1.0
 , 1116 , 1.0
 , 569 , 1.0
 , 1016 , 1.0
 , 471 , 1.0
 , 1124 , 1.0
 , 41 , 1.0
 , 299 , 1.0
 , 911 , 1.0
 , 1338 , 1.0
 , 485 , 1.0
 , 744 , 1.0
 , 905 , 1.0
 , 240 , 1.0
 , 384 , 1.0
 , 168 , 1.0
 , 105 , 1.0
 , 1166 , 1.0
 , 1135 , 1.0
 , 651 , 1.0
 , 733 , 1.0
 , 763 , 1.0
 , 555 , 1.0
 , 1285 , 1.0
 , 468 , 1.0
 , 547 , 1.0
 , 63 , 1.0
 , 254 , 1.0
 , 684 , 1.0
 , 1072 , 1.0
 , 211 , 1.0
 , 782 , 1.0
 , 232 , 1.0
 , 722 , 1.0
 , 150 , 1.0
 , 1094 , 1.0
 , 1460 , 1.0
 , 1139 , 1.0
 , 755 , 1.0
 , 603 , 1.0
 , 1054 , 1.0
 , 1316 , 1.0
 , 1061 , 1.0
 , 654 , 1.0
 , 204 , 1.0
 , 3 , 1.0
 , 369 , 1.0
 , 868 , 1.0
 , 342 , 1.0
 , 953 , 1.0
 , 1195 , 1.0
 , 1253 , 1.0
 , 1021 , 1.0
 , 1327 , 1.0
 , 420 , 1.0
 , 1322 , 1.0
 , 323 , 1.0
 , 1097 , 1.0
 , 828 , 1.0
 , 614 , 1.0
 , 74 , 1.0
 , 839 , 1.0
 , 1456 , 1.0
 , 518 , 1.0
 , 243 , 1.0
 , 1026 , 1.0
 , 800 , 1.0
 , 226 , 1.0
 , 1231 , 1.0
 , 797 , 1.0
 , 1214 , 1.0
 , 700 , 1.0
 , 1015 , 1.0
 , 1083 , 1.0
 , 366 , 1.0
 , 893 , 1.0
 , 305 , 1.0
 , 1352 , 1.0
 , 1043 , 1.0
 , 757 , 1.0
 , 971 , 1.0
 , 852 , 1.0
 , 91 , 1.0
 , 841 , 1.0
 , 453 , 1.0
 , 1177 , 1.0
 , 1296 , 1.0
 , 1434 , 1.0
 , 52 , 1.0
 , 960 , 1.0
 , 85 , 1.0
 , 1184 , 1.0
 , 626 , 1.0
 , 172 , 1.0
 , 584 , 1.0
 , 406 , 1.0
 , 715 , 1.0
 , 451 , 1.0
 , 930 , 1.0
 , 1130 , 1.0
 , 355 , 1.0
 , 643 , 1.0
 , 1011 , 1.0
 , 1144 , 1.0
 , 316 , 1.0
 , 1000 , 1.0
 , 1007 , 1.0
 , 915 , 1.0
 , 1032 , 1.0
 , 740 , 1.0
 , 1187 , 1.0
 , 380 , 1.0
 , 796 , 1.0
 , 1064 , 1.0
 , 566 , 1.0
 , 440 , 1.0
 , 774 , 1.0
 , 610 , 1.0
 , 999 , 1.0
 , 449 , 1.0
 , 377 , 1.0
 , 424 , 1.0
 , 1428 , 1.0
 , 334 , 1.0
 , 131 , 1.0
 , 401 , 1.0
 , 1247 , 1.0
 , 640 , 1.0
 , 1374 , 1.0
 , 726 , 1.0
 , 786 , 1.0
 , 926 , 1.0
 , 1050 , 1.0
 , 229 , 1.0
 , 1311 , 1.0
 , 830 , 1.0
 , 1385 , 1.0
 , 1398 , 1.0
 , 465 , 1.0
 , 693 , 1.0
 , 766 , 1.0
 , 200 , 1.0
 , 327 , 1.0
 , 669 , 1.0
 , 779 , 1.0
 , 543 , 1.0
 , 1423 , 1.0
 , 1413 , 1.0
 , 1206 , 1.0
 , 1363 , 1.0
 , 1151 , 1.0
 , 1333 , 1.0
 , 629 , 1.0
 , 1242 , 1.0
 , 349 , 1.0
 , 370 , 1.0
 , 1119 , 1.0
 , 1402 , 1.0
 , 1258 , 1.0
 , 671 , 1.0
 , 28 , 1.0
 , 1348 , 1.0
 , 803 , 1.0
 , 301 , 1.0
 , 1305 , 1.0
 , 975 , 1.0
 , 1445 , 1.0
 , 119 , 1.0
 , 1180 , 1.0
 , 1359 , 1.0
 , 1280 , 1.0
 , 576 , 1.0
 , 161 , 1.0
 , 632 , 1.0
 , 1341 , 1.0
 , 513 , 1.0
 , 964 , 1.0
 , 417 , 1.0
 , 136 , 1.0
 , 157 , 1.0
 , 667 , 1.0
 , 749 , 1.0
 , 752 , 1.0
 , 709 , 1.0
 , 811 , 1.0
 , 1291 , 1.0
 , 1113 , 1.0
 , 711 , 1.0
 , 529 , 1.0
 , 146 , 1.0
 , 1140 , 1.0
 , 1004 , 1.0
 , 1387 , 1.0
 , 1396 , 1.0
 , 1393 , 1.0
 , 1300 , 1.0
 , 176 , 1.0
 , 577 , 1.0
 , 358 , 1.0
 , 1075 , 1.0
 , 682 , 1.0
 , 673 , 1.0
 , 239 , 1.0
 , 312 , 1.0
theology , 171 , 1.0
materialtogether , 31 , 1.0
trouble , 1187 , 1.0
telegrapher , 1416 , 1.0
professionaljournals , 112 , 1.0
facilitating , 959 , 1.0
facilitating , 352 , 1.0
librariesat , 340 , 1.0
eccessible , 719 , 1.0
overpersonalized , 1325 , 1.0
1928 , 1182 , 1.0
averagebe , 784 , 1.0
forcontemporary , 951 , 1.0
turngreatly , 1002 , 1.0
minds , 63 , 1.0
minds , 1213 , 1.0
minds , 664 , 1.0
skippedwithout , 457 , 1.0
involvedin , 146 , 1.0
subdisciplinarysubject , 635 , 1.0
thestromberg , 56 , 1.0
terminologyin , 181 , 1.0
basicterminology , 1412 , 1.0
itsrecognition , 1458 , 1.0
uponthe , 264 , 1.0
uponthe , 1054 , 1.0
fashioned , 353 , 1.0
understandingnatural , 1427 , 1.0
theplateglass , 559 , 1.0
compete , 611 , 2.0
couldpresumably , 367 , 1.0
structurallydiverse , 890 , 1.0
byyear , 613 , 1.0
someaspects , 966 , 1.0
nominally , 226 , 1.0
percentage , 735 , 1.0
percentage , 981 , 1.0
percentage , 141 , 1.0
percentage , 44 , 1.0
percentage , 613 , 1.0
percentage , 217 , 1.0
percentage , 99 , 2.0
percentage , 1400 , 1.0
percentage , 1372 , 1.0
percentage , 775 , 1.0
percentage , 1355 , 1.0
percentage , 744 , 1.0
basisof , 983 , 1.0
basisof , 165 , 1.0
basisof , 843 , 1.0
toprogress , 113 , 1.0
referencesare , 11 , 1.0
subjectindexes , 776 , 1.0
hierarchical , 758 , 1.0
hierarchical , 840 , 1.0
hierarchical , 1298 , 1.0
hierarchical , 606 , 1.0
hierarchical , 1074 , 1.0
hierarchical , 1141 , 1.0
hierarchical , 1163 , 1.0
hierarchical , 700 , 1.0
aretypified , 1053 , 1.0
5of , 188 , 1.0
participles , 480 , 1.0
organizationsas , 1065 , 1.0
stimuliused , 1054 , 1.0
ties , 105 , 2.0
ties , 671 , 1.0
withr , 1040 , 1.0
seeking , 1373 , 1.0
seeking , 241 , 1.0
seeking , 60 , 1.0
seeking , 1263 , 2.0
seeking , 240 , 1.0
seeking , 828 , 2.0
itconsiders , 161 , 1.0
thedecision , 647 , 1.0
thedecision , 1037 , 1.0
hospitalproviding , 949 , 1.0
librarianshipand , 764 , 1.0
librarianshipand , 1192 , 1.0
librarianshipand , 185 , 1.0
sentences , 320 , 1.0
sentences , 657 , 1.0
sentences , 1175 , 1.0
sentences , 484 , 1.0
sentences , 636 , 2.0
sentences , 6 , 1.0
sentences , 315 , 1.0
sentences , 571 , 2.0
sentences , 499 , 3.0
sentences , 666 , 1.0
sentences , 1388 , 1.0
sentences , 168 , 1.0
sentences , 420 , 2.0
yetwon , 1029 , 1.0
isdescribed , 1371 , 1.0
isdescribed , 68 , 1.0
isdescribed , 1340 , 1.0
incorporate , 1308 , 1.0
havedrawn , 1438 , 1.0
correlatethe , 254 , 1.0
doreen , 181 , 1.0
read , 284 , 1.0
read , 15 , 1.0
read , 936 , 1.0
read , 657 , 1.0
read , 1248 , 1.0
read , 548 , 3.0
read , 1034 , 1.0
read , 237 , 1.0
read , 909 , 1.0
read , 592 , 1.0
read , 202 , 1.0
read , 691 , 3.0
read , 32 , 2.0
read , 14 , 1.0
read , 662 , 1.0
read , 315 , 1.0
read , 760 , 1.0
read , 930 , 1.0
read , 1090 , 1.0
read , 752 , 1.0
read , 239 , 1.0
fardifferent , 1056 , 1.0
abno , 826 , 1.0
capabilities , 862 , 1.0
capabilities , 320 , 3.0
capabilities , 56 , 1.0
capabilities , 512 , 1.0
capabilities , 884 , 1.0
capabilities , 459 , 1.0
capabilities , 1125 , 1.0
capabilities , 703 , 1.0
capabilities , 742 , 1.0
capabilities , 484 , 1.0
capabilities , 213 , 1.0
capabilities , 140 , 1.0
capabilities , 409 , 1.0
capabilities , 180 , 1.0
capabilities , 594 , 2.0
capabilities , 1247 , 1.0
hisknowledge , 1341 , 1.0
itemsin , 975 , 1.0
number , 113 , 1.0
number , 1182 , 2.0
number , 885 , 2.0
number , 158 , 3.0
number , 436 , 1.0
number , 777 , 1.0
number , 89 , 1.0
number , 307 , 1.0
number , 794 , 1.0
number , 649 , 1.0
number , 1147 , 1.0
number , 1198 , 1.0
number , 19 , 1.0
number , 806 , 1.0
number , 929 , 1.0
number , 523 , 2.0
number , 829 , 1.0
number , 450 , 1.0
number , 1003 , 1.0
number , 415 , 1.0
number , 955 , 1.0
number , 762 , 1.0
number , 1431 , 1.0
number , 320 , 1.0
number , 1232 , 4.0
number , 1091 , 1.0
number , 132 , 1.0
number , 44 , 2.0
number , 1118 , 2.0
number , 919 , 1.0
number , 1373 , 2.0
number , 407 , 1.0
number , 291 , 1.0
number , 866 , 1.0
number , 470 , 1.0
number , 329 , 2.0
number , 727 , 1.0
number , 512 , 1.0
number , 602 , 1.0
number , 163 , 2.0
number , 1346 , 2.0
number , 821 , 2.0
number , 134 , 1.0
number , 1039 , 1.0
number , 1407 , 1.0
number , 390 , 1.0
number , 750 , 1.0
number , 37 , 1.0
number , 61 , 2.0
number , 776 , 3.0
number , 765 , 1.0
number , 736 , 3.0
number , 46 , 1.0
number , 253 , 2.0
number , 1436 , 1.0
number , 661 , 1.0
number , 1145 , 2.0
number , 970 , 1.0
number , 1391 , 1.0
number , 233 , 2.0
number , 379 , 1.0
number , 192 , 1.0
number , 495 , 1.0
number , 784 , 1.0
number , 5 , 1.0
number , 545 , 1.0
number , 1276 , 2.0
number , 1256 , 1.0
number , 330 , 1.0
number , 199 , 1.0
number , 1451 , 1.0
number , 631 , 1.0
number , 1432 , 1.0
number , 59 , 1.0
number , 522 , 1.0
number , 550 , 1.0
number , 263 , 2.0
number , 256 , 1.0
number , 476 , 1.0
number , 422 , 1.0
number , 1415 , 6.0
number , 1419 , 1.0
number , 511 , 1.0
number , 559 , 1.0
number , 1158 , 1.0
number , 747 , 2.0
number , 148 , 1.0
number , 339 , 1.0
number , 508 , 1.0
number , 1457 , 1.0
number , 57 , 1.0
number , 605 , 1.0
number , 945 , 1.0
number , 1335 , 1.0
number , 1331 , 1.0
number , 1325 , 1.0
number , 1229 , 1.0
number , 820 , 1.0
number , 1058 , 1.0
number , 645 , 1.0
number , 1286 , 2.0
number , 636 , 1.0
number , 1099 , 1.0
number , 815 , 1.0
number , 1157 , 1.0
number , 883 , 2.0
number , 39 , 1.0
number , 1196 , 1.0
number , 521 , 1.0
number , 1275 , 2.0
number , 368 , 1.0
number , 795 , 1.0
number , 64 , 1.0
number , 546 , 1.0
number , 214 , 1.0
number , 467 , 1.0
number , 760 , 1.0
number , 756 , 3.0
number , 630 , 1.0
number , 354 , 3.0
number , 1321 , 1.0
number , 1418 , 1.0
number , 894 , 1.0
number , 266 , 1.0
number , 810 , 2.0
number , 831 , 1.0
number , 371 , 2.0
number , 652 , 1.0
number , 271 , 1.0
number , 282 , 1.0
number , 198 , 1.0
number , 958 , 1.0
number , 562 , 1.0
number , 1355 , 1.0
number , 520 , 1.0
number , 1369 , 3.0
number , 551 , 1.0
number , 154 , 1.0
number , 838 , 1.0
number , 660 , 2.0
number , 1366 , 1.0
number , 1199 , 2.0
number , 41 , 3.0
number , 744 , 1.0
number , 468 , 1.0
number , 1072 , 1.0
number , 782 , 2.0
number , 1460 , 1.0
number , 603 , 1.0
number , 1054 , 1.0
number , 342 , 1.0
number , 800 , 1.0
number , 893 , 2.0
number , 757 , 1.0
number , 930 , 1.0
number , 355 , 4.0
number , 316 , 1.0
number , 774 , 1.0
number , 424 , 2.0
number , 786 , 1.0
number , 1363 , 2.0
number , 1151 , 1.0
number , 28 , 1.0
number , 1348 , 1.0
number , 161 , 1.0
number , 157 , 1.0
number , 752 , 1.0
number , 811 , 1.0
number , 358 , 2.0
number , 1075 , 1.0
mass , 400 , 1.0
mass , 166 , 1.0
mass , 1245 , 1.0
mass , 403 , 1.0
mass , 422 , 1.0
mass , 95 , 2.0
mass , 156 , 2.0
mass , 412 , 1.0
mass , 1032 , 1.0
mass , 1187 , 1.0
ourselves , 164 , 1.0
ourselves , 121 , 2.0
ourselves , 350 , 1.0
ourselves , 795 , 1.0
ourselves , 555 , 1.0
ourselves , 1187 , 1.0
ofhigh , 240 , 1.0
efficiency , 388 , 1.0
efficiency , 817 , 1.0
efficiency , 589 , 1.0
efficiency , 981 , 1.0
efficiency , 1108 , 1.0
efficiency , 813 , 2.0
efficiency , 62 , 1.0
efficiency , 450 , 1.0
efficiency , 1134 , 1.0
efficiency , 329 , 1.0
efficiency , 1350 , 1.0
efficiency , 1189 , 1.0
efficiency , 1066 , 1.0
efficiency , 57 , 2.0
efficiency , 1037 , 1.0
efficiency , 510 , 1.0
efficiency , 1309 , 1.0
efficiency , 1099 , 1.0
efficiency , 348 , 1.0
efficiency , 771 , 1.0
efficiency , 1106 , 1.0
efficiency , 442 , 1.0
efficiency , 1109 , 1.0
efficiency , 795 , 1.0
efficiency , 389 , 1.0
efficiency , 156 , 1.0
efficiency , 1100 , 1.0
efficiency , 338 , 1.0
efficiency , 663 , 1.0
efficiency , 1124 , 1.0
efficiency , 1094 , 1.0
efficiency , 603 , 1.0
efficiency , 1130 , 1.0
efficiency , 779 , 4.0
efficiency , 146 , 1.0
able , 974 , 1.0
able , 142 , 1.0
able , 544 , 1.0
able , 117 , 1.0
able , 197 , 1.0
able , 262 , 1.0
able , 769 , 1.0
able , 392 , 1.0
able , 166 , 1.0
able , 595 , 1.0
able , 1153 , 1.0
able , 1028 , 1.0
able , 548 , 1.0
able , 476 , 1.0
able , 43 , 1.0
able , 65 , 1.0
able , 185 , 1.0
able , 1051 , 1.0
able , 933 , 1.0
able , 154 , 1.0
able , 1253 , 1.0
able , 643 , 1.0
able , 926 , 1.0
able , 200 , 2.0
able , 1423 , 1.0
able , 671 , 1.0
ranks , 643 , 1.0
ranks , 1121 , 1.0
suprasystem , 599 , 1.0
multipleuse , 347 , 1.0
algebraists , 25 , 1.0
byrml , 186 , 1.0
measuresand , 595 , 1.0
reserved , 548 , 1.0
broadening , 797 , 1.0
broadening , 936 , 1.0
broadening , 120 , 1.0
incompetent , 1270 , 1.0
93 , 190 , 1.0
93 , 928 , 1.0
93 , 121 , 1.0
93 , 765 , 1.0
participant , 802 , 1.0
participant , 939 , 1.0
participant , 612 , 1.0
variousbranches , 335 , 1.0
papers , 113 , 1.0
papers , 589 , 3.0
papers , 89 , 6.0
papers , 1238 , 4.0
papers , 19 , 1.0
papers , 121 , 1.0
papers , 770 , 1.0
papers , 1290 , 1.0
papers , 1020 , 1.0
papers , 11 , 1.0
papers , 104 , 1.0
papers , 139 , 1.0
papers , 1254 , 1.0
papers , 1273 , 2.0
papers , 613 , 2.0
papers , 588 , 2.0
papers , 1346 , 1.0
papers , 821 , 1.0
papers , 50 , 1.0
papers , 1268 , 1.0
papers , 429 , 1.0
papers , 623 , 1.0
papers , 928 , 1.0
papers , 1427 , 1.0
papers , 657 , 1.0
papers , 973 , 1.0
papers , 441 , 1.0
papers , 253 , 1.0
papers , 725 , 1.0
papers , 873 , 1.0
papers , 112 , 1.0
papers , 228 , 1.0
papers , 592 , 1.0
papers , 473 , 1.0
papers , 127 , 1.0
papers , 889 , 1.0
papers , 792 , 1.0
papers , 248 , 1.0
papers , 1251 , 1.0
papers , 1024 , 1.0
papers , 1422 , 1.0
papers , 775 , 1.0
papers , 636 , 1.0
papers , 39 , 3.0
papers , 1310 , 1.0
papers , 102 , 2.0
papers , 96 , 1.0
papers , 503 , 1.0
papers , 764 , 1.0
papers , 756 , 1.0
papers , 371 , 2.0
papers , 791 , 1.0
papers , 338 , 2.0
papers , 958 , 1.0
papers , 1274 , 1.0
papers , 748 , 1.0
papers , 235 , 3.0
papers , 1277 , 4.0
papers , 901 , 1.0
papers , 457 , 4.0
papers , 129 , 1.0
papers , 41 , 1.0
papers , 744 , 4.0
papers , 763 , 1.0
papers , 150 , 2.0
papers , 1460 , 1.0
papers , 953 , 1.0
papers , 420 , 1.0
papers , 366 , 1.0
papers , 85 , 1.0
papers , 355 , 1.0
papers , 1090 , 1.0
papers , 576 , 1.0
papers , 632 , 2.0
papers , 1291 , 1.0
papers , 577 , 1.0
papers , 673 , 1.0
dissimilar , 1197 , 1.0
numbering , 678 , 2.0
kebler , 793 , 2.0
packagemay , 809 , 1.0
largenumber , 197 , 1.0
largenumber , 113 , 1.0
largenumber , 673 , 1.0
intable , 99 , 1.0
intable , 97 , 1.0
andaip , 1208 , 1.0
thisinnovation , 711 , 1.0
behind , 1232 , 1.0
behind , 386 , 1.0
behind , 140 , 1.0
behind , 916 , 1.0
behind , 694 , 1.0
behind , 542 , 1.0
behind , 1019 , 1.0
behind , 222 , 1.0
behind , 401 , 1.0
theiruse , 1373 , 1.0
headline , 559 , 1.0
beenundertaken , 133 , 1.0
floorcovering , 1212 , 1.0
failure , 963 , 1.0
failure , 1147 , 1.0
failure , 343 , 1.0
failure , 492 , 1.0
failure , 1039 , 1.0
failure , 816 , 2.0
failure , 731 , 1.0
failure , 935 , 1.0
failure , 820 , 1.0
failure , 1286 , 1.0
failure , 799 , 1.0
failure , 1255 , 1.0
failure , 514 , 1.0
failure , 594 , 1.0
failure , 427 , 1.0
failure , 994 , 2.0
failure , 502 , 1.0
failure , 272 , 1.0
failure , 811 , 5.0
fundamentalcontemporary , 1153 , 1.0
inamerica , 20 , 1.0
ways , 381 , 1.0
ways , 388 , 1.0
ways , 1401 , 1.0
ways , 1389 , 1.0
ways , 158 , 1.0
ways , 12 , 1.0
ways , 8 , 1.0
ways , 4 , 1.0
ways , 1221 , 1.0
ways , 825 , 1.0
ways , 407 , 1.0
ways , 298 , 1.0
ways , 773 , 1.0
ways , 68 , 1.0
ways , 736 , 1.0
ways , 328 , 1.0
ways , 509 , 1.0
ways , 728 , 1.0
ways , 325 , 1.0
ways , 527 , 1.0
ways , 754 , 1.0
ways , 152 , 1.0
ways , 1041 , 1.0
ways , 21 , 1.0
ways , 32 , 2.0
ways , 1422 , 1.0
ways , 596 , 1.0
ways , 938 , 1.0
ways , 656 , 1.0
ways , 991 , 1.0
ways , 111 , 1.0
ways , 245 , 1.0
ways , 995 , 1.0
ways , 58 , 2.0
ways , 539 , 1.0
ways , 488 , 1.0
ways , 2 , 1.0
ways , 1381 , 1.0
ways , 947 , 1.0
ways , 1337 , 1.0
ways , 621 , 1.0
ways , 719 , 1.0
ways , 355 , 2.0
ways , 316 , 1.0
ways , 1032 , 1.0
ways , 401 , 1.0
ways , 1206 , 1.0
ways , 1291 , 1.0
buildings , 944 , 1.0
buildings , 1400 , 1.0
buildings , 1203 , 2.0
buildings , 1211 , 1.0
buildings , 1253 , 2.0
format , 1210 , 1.0
format , 858 , 1.0
format , 862 , 1.0
format , 678 , 1.0
format , 404 , 1.0
format , 990 , 1.0
format , 604 , 1.0
format , 320 , 1.0
format , 512 , 1.0
format , 1057 , 1.0
format , 884 , 1.0
format , 877 , 1.0
format , 516 , 1.0
format , 606 , 1.0
format , 1153 , 1.0
format , 1079 , 1.0
format , 873 , 1.0
format , 861 , 1.0
format , 1376 , 1.0
format , 49 , 1.0
format , 864 , 1.0
format , 887 , 1.0
format , 1174 , 2.0
format , 467 , 1.0
format , 863 , 1.0
format , 709 , 1.0
pragmaticwords , 666 , 1.0
ofusers , 154 , 1.0
thetask , 1072 , 1.0
defer , 651 , 1.0
theseexplanations , 911 , 1.0
grounds , 995 , 1.0
grounds , 603 , 1.0
grounds , 123 , 1.0
theconstitutional , 1458 , 1.0
determinant , 89 , 1.0
computerauxiliary , 867 , 1.0
des , 12 , 1.0
minuted , 197 , 1.0
continuous , 362 , 1.0
continuous , 773 , 1.0
continuous , 1356 , 1.0
continuous , 1286 , 1.0
continuous , 165 , 1.0
continuous , 1184 , 1.0
continuous , 229 , 3.0
lumped , 522 , 1.0
simulate , 67 , 1.0
simulate , 651 , 1.0
simulate , 762 , 1.0
simulate , 309 , 1.0
encompassingwhole , 1069 , 1.0
chief , 974 , 1.0
chief , 1394 , 1.0
chief , 1216 , 1.0
chief , 1176 , 1.0
chief , 892 , 1.0
chief , 188 , 2.0
chief , 357 , 1.0
chief , 277 , 1.0
chief , 187 , 1.0
thetendency , 1458 , 1.0
interrelations , 365 , 1.0
interrelations , 1380 , 1.0
interrelations , 1128 , 1.0
interrelations , 789 , 1.0
1950 , 735 , 1.0
1950 , 966 , 1.0
1950 , 747 , 2.0
1950 , 473 , 1.0
1950 , 795 , 1.0
1950 , 1050 , 1.0
organization , 515 , 1.0
organization , 169 , 1.0
organization , 12 , 2.0
organization , 66 , 1.0
organization , 175 , 1.0
organization , 62 , 1.0
organization , 321 , 1.0
organization , 135 , 1.0
organization , 421 , 2.0
organization , 985 , 1.0
organization , 1020 , 2.0
organization , 15 , 1.0
organization , 132 , 1.0
organization , 1150 , 1.0
organization , 1407 , 1.0
organization , 123 , 1.0
organization , 1142 , 1.0
organization , 623 , 1.0
organization , 1068 , 1.0
organization , 209 , 1.0
organization , 899 , 1.0
organization , 553 , 1.0
organization , 1186 , 2.0
organization , 951 , 1.0
organization , 231 , 2.0
organization , 873 , 1.0
organization , 350 , 1.0
organization , 1197 , 2.0
organization , 480 , 1.0
organization , 1256 , 1.0
organization , 274 , 1.0
organization , 1189 , 1.0
organization , 631 , 1.0
organization , 256 , 1.0
organization , 340 , 1.0
organization , 1136 , 1.0
organization , 909 , 1.0
organization , 188 , 1.0
organization , 1212 , 1.0
organization , 1096 , 1.0
organization , 259 , 1.0
organization , 472 , 2.0
organization , 1009 , 1.0
organization , 413 , 1.0
organization , 1448 , 1.0
organization , 241 , 1.0
organization , 991 , 1.0
organization , 872 , 1.0
organization , 1174 , 1.0
organization , 560 , 1.0
organization , 452 , 1.0
organization , 109 , 1.0
organization , 1321 , 1.0
organization , 1065 , 1.0
organization , 1297 , 1.0
organization , 1190 , 1.0
organization , 1332 , 1.0
organization , 482 , 1.0
organization , 958 , 1.0
organization , 506 , 1.0
organization , 352 , 1.0
organization , 875 , 1.0
organization , 818 , 1.0
organization , 105 , 2.0
organization , 254 , 1.0
organization , 1139 , 1.0
organization , 3 , 2.0
organization , 715 , 1.0
organization , 1187 , 4.0
organization , 1191 , 1.0
organization , 1423 , 1.0
organization , 1333 , 1.0
organization , 1075 , 2.0
toremedy , 1256 , 1.0
despite , 121 , 1.0
despite , 1425 , 1.0
despite , 155 , 1.0
despite , 65 , 1.0
despite , 1314 , 1.0
despite , 25 , 1.0
despite , 151 , 1.0
despite , 947 , 1.0
despite , 232 , 1.0
drive , 21 , 1.0
winning , 88 , 1.0
applicability , 425 , 1.0
applicability , 556 , 1.0
applicability , 907 , 1.0
applicability , 527 , 1.0
applicability , 263 , 1.0
applicability , 17 , 1.0
applicability , 1410 , 1.0
applicability , 603 , 1.0
applicability , 52 , 1.0
applicability , 85 , 2.0
applicability , 1398 , 1.0
authoritative , 240 , 1.0
towardsolving , 978 , 1.0
holland , 507 , 1.0
permanently , 101 , 1.0
cumulative , 1346 , 1.0
cumulative , 848 , 1.0
cumulative , 1286 , 1.0
cumulative , 759 , 1.0
cumulative , 115 , 1.0
cumulative , 1076 , 1.0
cumulative , 271 , 1.0
database , 611 , 1.0
database , 520 , 1.0
database , 813 , 2.0
database , 702 , 1.0
libraryand , 942 , 1.0
libraryand , 141 , 1.0
designerstouted , 630 , 1.0
moral , 289 , 1.0
willvary , 1407 , 1.0
experimental , 73 , 1.0
experimental , 164 , 1.0
experimental , 523 , 1.0
experimental , 534 , 1.0
experimental , 593 , 1.0
experimental , 1120 , 1.0
experimental , 1272 , 2.0
experimental , 385 , 1.0
experimental , 966 , 2.0
experimental , 250 , 1.0
experimental , 895 , 1.0
experimental , 123 , 1.0
experimental , 72 , 1.0
experimental , 890 , 1.0
experimental , 1367 , 1.0
experimental , 317 , 1.0
experimental , 375 , 1.0
experimental , 1063 , 1.0
experimental , 43 , 1.0
experimental , 1234 , 1.0
experimental , 1069 , 1.0
experimental , 568 , 1.0
experimental , 883 , 1.0
experimental , 409 , 1.0
experimental , 554 , 3.0
experimental , 662 , 1.0
experimental , 1207 , 1.0
experimental , 795 , 1.0
experimental , 1315 , 1.0
experimental , 1230 , 2.0
experimental , 1111 , 1.0
experimental , 1233 , 1.0
experimental , 894 , 1.0
experimental , 564 , 1.0
experimental , 81 , 1.0
experimental , 167 , 1.0
experimental , 1386 , 1.0
experimental , 738 , 1.0
experimental , 101 , 1.0
experimental , 1124 , 1.0
experimental , 547 , 1.0
experimental , 1139 , 1.0
experimental , 1195 , 1.0
experimental , 643 , 1.0
experimental , 566 , 1.0
